Time,Stress_Val,Daylight,total_keystrokes,backspace_count,hold_time_mean,hold_time_std,flight_time_mean,flight_time_std,total_inact_duration,backspace_ratio,Daylight_Encoded,Stress_Label
2021-09-09 09:57:29.832442,S_Stressed,Morning,0.0,0.0,0.0,0.0,0.0,0.0,2159.928301,0.0,0,1
2021-09-09 10:27:43.585933,S_Stressed,Morning,345.0,18.0,126.03291304347827,185.08558136882993,616.9021565217391,990.4008476127665,3146.626304,0.052173911531190977,0,1
2021-09-09 10:58:18.375071,S_Stressed,Morning,108.0,6.0,121.09466666666667,171.27110877060971,905.7846111111111,1438.8700153135344,2033.598468,0.05555555041152311,0,1
2021-09-09 11:52:20.787660,S_Stressed,Afternoon,143.0,9.0,303.45004195804194,449.60638925201863,1677.057923076923,1907.6253924754906,5839.337124,0.06293705853587003,1,1
2021-09-09 12:22:33.385381,V_Stressed,Afternoon,120.0,14.0,288.2474833333333,346.86467041004914,1558.3775500000002,1880.3855824949185,1469.321207,0.11666665694444525,1,1
2021-09-09 12:52:45.831533,Neutral,Afternoon,370.0,22.0,276.8724945945946,389.85735176827654,1262.3700702702702,1580.689384009828,2629.944707,0.05945945785244709,1,0
2021-09-09 13:54:33.248721,S_Stressed,Afternoon,163.0,28.0,334.3442883435583,407.42304195513054,1365.4625582822086,1671.7923078718268,6553.404912,0.17177913056569752,1,1
2021-09-09 14:24:53.497625,S_Stressed,Afternoon,154.0,25.0,265.0222532467533,356.0861193775189,1179.3254025974024,1483.4397154801438,3341.153564,0.16233765179625637,1,1
2021-09-09 14:55:18.612522,S_Stressed,Afternoon,36.0,0.0,188.73266666666666,153.95138617647177,1507.7333888888888,1772.1469159865671,5753.92317,0.0,1,1
2021-09-09 15:54:44.942840,S_Stressed,Afternoon,0.0,0.0,0.0,0.0,0.0,0.0,3477.308337,0.0,1,1
2021-09-09 16:26:51.920678,S_Stressed,Evening,41.0,0.0,295.0619024390244,397.38642058554325,1537.3271463414635,1811.0063123170437,3463.534338,0.0,2,1
2021-09-10 08:23:21.858056,Neutral,Morning,3.0,0.0,790.6396666666668,504.35469626080953,3423.496333333333,2730.584448985296,729.41419,0.0,0,0
2021-09-10 08:53:41.625333,Neutral,Morning,89.0,6.0,148.4650449438202,206.96401437958139,544.7012696629214,892.013397053985,2939.1465200000002,0.06741572276227834,0,0
2021-09-10 10:13:00.365522,Neutral,Morning,270.0,9.0,182.21774074074074,267.1201540538391,980.3964666666666,1482.3791864569555,8405.591151,0.03333333209876548,0,0
2021-09-10 10:43:07.805316,S_Stressed,Morning,94.0,4.0,290.08901063829785,416.51162707013685,1527.1261489361702,1823.668912949139,2308.180028,0.042553186962426916,0,1
2021-09-10 11:13:13.632386,Neutral,Afternoon,439.0,5.0,225.10244191343963,358.2550561575867,1308.3067243735763,1582.3520132594863,2690.098221,0.011389521380648717,1,0
2021-09-10 12:05:25.383126,Neutral,Afternoon,230.0,10.0,231.4438,348.21184753423984,1085.126608695652,1558.1628903811072,5727.595456999999,0.04347825897920613,1,0
2021-09-13 11:24:35.316396,S_Stressed,Afternoon,83.0,4.0,299.6823493975904,403.410092332623,1274.0100843373493,1673.8178977111359,3859.03932,0.04819276527798008,1,1
2021-09-13 11:54:44.491710,Neutral,Afternoon,0.0,0.0,0.0,0.0,0.0,0.0,1759.4060039999997,0.0,1,0
2021-09-13 12:25:08.472526,S_Stressed,Afternoon,314.0,20.0,228.77984713375798,356.5437998090244,1141.1058280254776,1583.3258006864398,2403.113743,0.06369426548744378,1,1
2021-09-13 12:55:23.387140,S_Stressed,Afternoon,185.0,4.0,279.7844216216216,442.61145417181996,1277.9581135135134,1709.7205214390187,2216.422673,0.02162162045288538,1,1
2021-09-13 13:25:33.655092,V_Stressed,Afternoon,90.0,8.0,414.89917777777777,524.0294844650962,1383.6526222222224,1747.2355463158071,3004.040001,0.08888887901234677,1,1
2021-09-13 13:55:45.818101,V_Stressed,Afternoon,69.0,6.0,196.91789855072463,373.07252214691874,1279.5251594202898,1743.470328775297,2696.493702,0.0869565091367378,1,1
2021-09-13 14:25:53.918261,V_Stressed,Afternoon,124.0,0.0,290.3855241935484,369.86026149857753,1406.4110080645162,1864.3281089543773,2755.353059,0.0,1,1
2021-09-13 14:56:06.350114,V_Stressed,Afternoon,177.0,7.0,390.28465536723166,503.9060725584182,1527.9226836158193,1786.054108237546,2573.54655,0.03954802036451862,1,1
