total_keystrokes,backspace_count,backspace_ratio,hold_time_mean,hold_time_std,flight_time_mean,flight_time_std,total_inact_duration,Daylight_Encoded,Stress_Label
69.0,6.0,0.0869565091367378,196.91789855072463,373.07252214691874,1279.5251594202898,1743.470328775297,2696.493702,1,1
124.0,0.0,0.0,290.3855241935484,369.86026149857753,1406.4110080645162,1864.3281089543773,2755.353059,1,1
177.0,7.0,0.03954802036451862,390.28465536723166,503.9060725584182,1527.9226836158193,1786.054108237546,2573.54655,1,1
283.0,48.0,0.16961130142716252,278.79582332155474,446.0777562229378,1186.6896183745584,1614.894797059391,4624.947402,1,1
335.0,36.0,0.1074626833593229,253.43731940298505,369.56324879877207,1260.2375402985074,1614.9087425136008,2083.549472,2,1
290.0,31.0,0.10689654803805007,348.9779068965517,456.05590911702416,1373.546551724138,1646.47431909067,2532.197528,2,1
137.0,12.0,0.08759123448239164,282.8635620437956,325.4696680916957,1367.1229343065693,1719.96614477274,1859.320625,0,1
100.0,1.0,0.0099999990000001,330.57972,458.4530621866372,1757.3635800000002,1971.0228747597898,2038.249473,0,1
176.0,2.0,0.011363635717975244,219.4175965909091,286.1601721750587,1347.2502386363637,1701.3001292947563,8038.171567,0,0
372.0,66.0,0.17741935006937232,358.62073118279574,512.969577516355,1232.1011639784945,1620.289523561097,2561.294305,1,0
208.0,28.0,0.13461537814349142,325.69470192307693,384.11988836668974,1519.0577307692308,1817.1843081347904,2089.864743,1,0
311.0,6.0,0.01929260388126676,318.7012893890675,421.7352874906706,1333.5123633440514,1741.4446290473263,2389.79842,1,1
464.0,72.0,0.15517241044887048,208.0507198275862,356.8638221105633,1083.2871616379311,1558.741905135829,2432.66895,1,0
556.0,75.0,0.13489208390481863,216.14091366906476,347.20958322631924,1091.6055071942446,1518.494580371479,2203.604868,1,1
633.0,75.0,0.11848341045049905,247.99801421800947,382.3945863366703,1338.6864549763031,1654.841261882017,9519.50101,1,1
645.0,88.0,0.1364341064118743,232.7312589147287,337.9561324690632,1282.581865116279,1633.991315134487,1838.07899,1,1
